property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_to_room_ratio
flat,mahindra aura,sector 110,1.4,9655.0,3,3,3,10.0,Relatively New,1550.0,0,0,0,0,0,1,142,483.3333333333333
flat,ireo victory valley,sector 67,3.65,13529.0,3,4,3+,18.0,Relatively New,2490.0,0,1,0,1,0,1,61,899.3333333333334
flat,signature global solera,sector 107,0.6,8000.0,3,2,2,8.0,Relatively New,750.0,0,0,0,0,0,0,55,250.0
flat,tulip violet,sector 69,1.44,9125.0,3,3,2,1.0,Relatively New,1381.0,0,0,0,1,0,0,174,526.0
flat,m3m capital,sector 113,2.37,11499.0,4,4,3+,20.0,Under Construction,2060.0,1,0,0,0,0,0,143,515.25
flat,zara aavaas,sector 104,0.2,6645.0,1,2,2,3.0,New Property,334.0,0,0,0,0,0,0,67,301.0
flat,godrej nature plus,sector 33,1.5,10197.0,2,2,3+,2.0,Under Construction,1539.0,0,0,0,0,0,0,87,735.5
flat,m3m capital,sector 113,1.83,13969.0,2,2,0,7.0,New Property,1310.0,0,0,0,0,0,0,68,655.0
house,independent,sector 4,3.2,14222.0,3,3,2,2.0,Old Property,2250.0,0,0,0,0,0,0,13,750.0
flat,breez global heights 88a,sector 88a,0.5,8375.0,3,2,2,2.0,Under Construction,663.0,0,0,0,0,0,0,15,199.0
flat,south city 1 floors,sector 41,3.4,11724.0,4,4,3,0.0,Old Property,2900.0,0,0,0,0,0,0,0,725.0
flat,adani m2k oyster grande,sector 102,4.55,10000.0,4,4,3+,11.0,Relatively New,4630.0,0,0,0,0,0,1,60,1137.5
flat,vatika city,sector 49,1.72,7818.0,3,3,2,2.0,Old Property,2444.0,0,0,0,0,0,1,144,733.3333333333334
flat,smart world orchard,sector 61,2.2,13497.0,3,3,2,1.0,Under Construction,1778.0,0,0,0,0,0,0,49,543.3333333333334
flat,vatika iris floors,sector 82,0.63,5590.0,2,2,3+,2.0,Relatively New,1026.0,1,0,0,0,0,0,110,563.5
flat,corona optus,sector 37,1.4,7035.0,3,3,3+,4.0,Relatively New,1890.0,0,1,0,0,0,0,149,663.3333333333334
flat,unitech south park,sector 70,1.13,7001.0,3,3,2,1.0,Under Construction,1457.0,0,0,0,0,0,0,46,538.0
house,hero homes,sector 104,1.95,21196.0,3,5,3+,2.0,Moderately Old,920.0,0,0,0,0,0,0,64,306.6666666666667
flat,shree vardhman victoria,sector 70,1.75,8974.0,3,5,0,0.0,Relatively New,1950.0,0,0,0,0,0,0,47,650.0
flat,indiabulls centrum park,sector 103,2.45,8522.0,4,4,3,11.0,Relatively New,2602.0,1,1,1,1,0,0,38,718.75
house,vatika signature villas,sector 82,4.7,21759.0,3,3,3+,3.0,New Property,2160.0,0,1,0,0,0,0,33,720.0
house,independent,sector 28,0.7,8102.0,4,2,0,2.0,Old Property,864.0,0,0,0,0,0,0,7,216.0
flat,m3m soulitude,sector 89,1.3,8701.0,3,3,2,1.0,New Property,1179.0,0,0,0,0,1,0,45,498.0
house,international city by sobha phase 2,sector 109,6.5,12037.0,4,4,3+,1.0,New Property,5400.0,0,1,0,0,0,1,160,1350.0
flat,signature global the millennia,sector 37d,0.55,9167.0,2,2,3,3.0,New Property,543.0,0,0,0,0,0,0,53,300.0
flat,signature global park,sohna road,0.9,8036.0,3,2,2,2.0,Under Construction,1014.0,0,0,0,0,0,0,144,373.3333333333333
flat,m3m woodshire,sector 107,1.15,7497.0,2,2,3,0.0,Relatively New,1281.0,1,0,0,0,0,0,29,767.0
flat,emaar mgf the palm drive,sector 66,3.5,16471.0,3,4,3,6.0,Relatively New,2150.0,0,1,0,0,0,0,68,708.3333333333334
flat,dlf regal gardens,sector 90,1.78,8036.0,4,4,3+,8.0,Relatively New,2000.0,0,0,0,0,0,0,126,553.75
flat,sanskriti apartments,sector 43,2.5,13514.0,3,2,3,5.0,Old Property,1674.0,1,0,0,0,0,0,0,616.6666666666666
house,independent,sector 38,3.9,21242.0,6,6,3+,3.0,Moderately Old,1836.0,1,1,0,1,0,0,32,306.0
house,independent,sector 3,0.55,6707.0,2,2,1,2.0,Moderately Old,810.0,0,0,0,0,0,0,0,410.0
flat,bptp terra,sector 37d,1.67,7622.0,4,4,3,11.0,Relatively New,2091.0,0,0,0,0,0,1,149,547.75
flat,shree vardhman flora,sector 90,0.65,6792.0,2,2,3,9.0,Relatively New,1050.0,1,0,0,0,0,0,67,478.5
flat,m3m golfestate,sector 65,5.5,16960.0,3,4,3,3.0,Relatively New,2803.0,0,1,0,0,0,0,49,1081.0
flat,dlf regal gardens,sector 90,2.05,8999.0,4,4,3+,5.0,Relatively New,2005.0,0,0,0,0,0,1,49,569.5
house,independent,sector 51,2.25,2778.0,6,3,3+,3.0,Relatively New,900.0,0,0,0,0,0,0,54,1350.0
house,unitech uniworld resorts,sector 33,11.0,26667.0,5,6,3,3.0,New Property,4125.0,1,1,0,0,0,0,58,825.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.41,10307.0,2,2,3,0.0,Relatively New,1238.0,0,0,0,0,1,0,49,684.0
flat,mapsko mount ville,sector 79,1.65,9091.0,3,3,0,12.0,Relatively New,1815.0,0,0,0,0,0,0,0,605.0
flat,vatika gurgaon,sector 83,0.98,8167.0,2,2,3,5.0,Relatively New,1300.0,0,0,0,0,0,1,96,600.0
flat,essel towers,sector 14,2.2,12500.0,3,4,3+,3.0,Relatively New,1956.0,0,0,0,0,0,0,0,586.6666666666666
flat,dlf the skycourt,sector 86,1.5,7776.0,3,3,1,15.0,Relatively New,1550.0,0,0,0,0,0,0,159,643.0
house,satya the hermitage,sector 103,4.35,13501.0,4,4,3+,2.0,Relatively New,3222.0,1,1,1,1,0,1,138,805.5
flat,tulip violet,sector 69,1.3,8286.0,3,3,1,12.0,Relatively New,1419.0,0,0,0,1,0,0,86,523.0
flat,chd avenue,sector 71,1.1,6104.0,3,4,3,3.0,Moderately Old,1631.0,0,1,0,0,0,0,26,600.6666666666666
flat,dlf the primus,sector 82a,1.59,10338.0,3,3,3+,5.0,Relatively New,1668.0,0,0,0,0,1,2,167,512.6666666666666
flat,godrej icon,sector 88a,1.65,9041.0,3,3,3,12.0,New Property,1652.0,0,0,0,0,0,0,60,608.3333333333334
flat,dlf the ultima,sector 81,2.28,10842.0,3,3,3+,14.0,Relatively New,1750.0,0,1,0,0,0,2,49,701.0
flat,dlf new town heights,sector 90,1.6,6768.0,4,4,3+,10.0,Relatively New,2139.0,0,1,0,1,0,0,88,591.0
flat,dlf regal gardens,sector 90,1.21,6926.0,3,3,3+,29.0,Relatively New,1581.0,0,0,0,0,1,0,95,582.3333333333334
flat,dlf regal gardens,sector 90,1.25,10417.0,3,3,3,18.0,Moderately Old,1437.0,0,1,0,0,0,0,100,400.0
flat,bestech park view residency,sector 2,0.98,6931.0,2,2,3,11.0,Moderately Old,1281.0,0,0,0,0,0,0,83,707.0
flat,experion the heartsong,sector 108,0.93,6078.0,2,3,3,10.0,Relatively New,1161.0,0,0,0,0,0,0,81,765.0
flat,smart world orchard,sector 61,2.24,14461.0,3,3,2,3.0,New Property,1402.0,0,0,0,0,1,0,61,516.3333333333334
flat,kiran residency,sector 56,1.55,7750.0,3,3,3,5.0,Old Property,1810.0,0,1,0,0,0,1,52,666.6666666666666
flat,supertech araville,sector 79,0.78,6023.0,2,2,3+,17.0,Relatively New,1172.0,0,0,0,0,0,0,24,647.5
flat,la vida by tata housing,sector 113,1.93,12223.0,3,3,2,8.0,Under Construction,1429.0,0,0,0,0,0,0,71,526.3333333333334
flat,ats triumph,sector 104,2.6,8814.0,4,4,3+,16.0,Relatively New,3064.0,0,1,0,0,0,1,150,737.5
house,experion windchants,sector 112,7.46,10260.0,4,4,3+,2.0,Relatively New,6350.0,0,1,0,1,0,1,62,1817.75
flat,ambience creacions,sector 22,4.8,19200.0,4,6,3+,10.0,New Property,2778.0,0,1,0,1,0,2,49,625.0
flat,experion the heartsong,sector 108,0.97,9238.0,2,2,3,10.0,Relatively New,1167.0,0,1,0,0,0,0,165,525.0
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601.0,2,2,2,12.0,Relatively New,828.0,0,0,0,0,0,0,100,457.5
flat,dlf garden city floors,sector 92,1.7,8586.0,3,4,2,1.0,Under Construction,1475.0,0,0,0,0,0,0,63,660.0
house,independent,sector 26,6.75,27778.0,3,3,3,2.0,Moderately Old,2430.0,0,0,0,0,0,0,27,810.0
flat,dlf new town heights,sector 90,1.2,6218.0,3,3,3+,8.0,Moderately Old,2144.0,0,1,0,1,0,0,59,643.3333333333334
flat,shree vardhman victoria,sector 70,1.65,8462.0,3,5,3,6.0,Relatively New,1527.0,0,1,0,1,0,0,167,650.0
flat,antriksh heights,sector 84,0.69,5111.0,2,2,3+,8.0,Relatively New,1222.0,1,0,0,0,0,0,59,675.0
flat,ss,sector 85,1.2,7151.0,2,2,3,15.0,Relatively New,1660.0,0,0,0,0,0,0,49,839.0
flat,apartment,sector 92,0.75,4688.0,3,4,3,2.0,Moderately Old,1778.0,1,0,0,0,0,0,113,533.3333333333334
flat,vatika city,sector 49,1.69,8622.0,3,3,3,3.0,Moderately Old,2178.0,0,0,0,1,0,0,136,653.3333333333334
flat,ireo victory valley,sector 67,4.5,14098.0,4,4,3+,0.0,Relatively New,3160.0,0,1,0,1,0,1,42,798.0
house,unitech uniworld resorts,sector 33,8.5,17820.0,5,5,3+,3.0,New Property,4770.0,1,1,1,1,0,1,145,954.0
